NumHAcceptors,NumHDonors,anchor_end_PA,anchor_end_SA,anchor_end_CA,anchor_end_BA,anchor_end_O,anchor_end_SiO,anchor_end_N,anchor_end_S,alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,TPSA,MolLogP,PSA,control_PCE,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO,PCE
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.126442,-1.721957,1.392593,8.94094,-32.05022,49.53526,37.3,2.0382,53.12,17.46,0,0,0,1,0,18.43
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.29672,-1.506979,1.839161,10.41554,-34.27143,47.16117,37.3,1.3848,59.22,17.46,0,0,0,1,0,17.9
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,63.32,0.967,97.09,17.46,0,0,0,1,0,16.22
3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-8.044581,-3.018519,3.681858,13.57203,-29.69536,55.56308,80.44,1.293,103.37,17.46,0,0,0,1,0,14.62
1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-6.591401,-0.750235,0.76251,12.98488,-40.55857,51.63882,57.53,2.1268,116.05,11.2,0,1,0,0,0,12.7
2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-6.494416,-0.746027,3.719136,14.06089,-45.87441,49.0242,66.76,0.4982,116.54,17.02,0,1,0,0,0,12.08
1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.324153,-1.0694,2.101104,13.29871,-43.72806,51.04584,57.53,0.4896,88.78,17.02,0,1,0,0,0,15.35
2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.756025,-2.208901,4.031949,15.19361,-37.54742,57.83996,81.32,0.36128,116.42,17.02,0,1,0,0,0,18.45
2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-6.562492,0.609072,1.90102,16.93497,-42.38545,52.30655,83.55,-0.9197,85.95,22.72,0,0,1,0,0,23.99
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,63.32,-0.9703,70.92,22.72,0,0,1,0,0,23.56
4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,-6.143101,0.835353,2.580468,8.91314,-26.92065,17.17041,27.69,1.1844,85.64,14.36,0,0,0,1,0,16.5
5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-8.126163,-0.406745,2.842595,11.46708,-36.8908,25.36598,61.83,2.5103,133.96,21.94,0,0,1,0,0,24.26
1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,-8.170442,0.791538,3.266375,15.86839,-28.58316,53.59922,20.23,0.541,78.72,21.94,0,0,1,0,0,22.99
2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-7.493682,0.273123,1.775334,11.50882,-36.59872,15.83471,26.3,0.1793,56.26,21.94,0,0,1,0,0,23.55
1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-8.101561,0.344698,3.1104,21.41101,-43.96167,57.23893,77.76,-0.9286,72.8,21.94,0,0,1,0,0,22.9
8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-4.706651,-1.273565,0.0,7.64798,-24.32436,20.50514,53.26,15.5638,255.7,22.2,0,1,0,0,0,24.0
2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,-6.097532,-0.296762,1.343546,9.79352,-32.09147,27.20126,26.02,1.2068,64.37,17.6,0,1,0,0,0,20.4
2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,-5.378899,-0.906493,1.684463,10.50495,-41.07302,50.48756,62.46,4.36924,164.24,22.2,0,1,0,0,0,22.6
2,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,-6.31522,0.96297,2.246176,9.17935,-38.38046,37.84767,46.25,1.0288,56.18,19.62,0,1,0,0,0,22.21
4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,-6.473761,0.357154,4.633114,18.40192,-35.84817,53.46291,109.49,-2.0509,153.3,20.21,0,0,1,0,0,22.65
4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-6.230089,-2.757983,1.510021,11.44582,-34.47647,25.98267,81.47,1.5618,127.55,20.2,0,0,1,0,0,22.63
4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-7.937877,-2.911409,4.572889,12.15631,-30.81833,20.82768,69.44,1.7715,134.51,20.42,0,0,1,0,0,23.16
3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-6.273183,-0.859333,6.132441,17.40029,-38.42176,47.36552,80.39,0.5155,114.12,18.02,0,0,1,0,0,20.32
2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.984313,-1.356977,1.606405,10.63053,-34.41696,47.3162,37.3,1.4463,57.12,17.54,0,0,1,0,0,19.59
2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,-6.554043,-0.549536,1.227091,10.79467,-32.23684,47.9689,37.3,1.3752,77.02,17.54,0,0,1,0,0,20.61
2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,-6.545251,-0.514071,1.259921,10.53704,-34.40626,47.72762,37.3,1.7653,80.71,17.54,0,0,1,0,0,18.67
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-6.825546,-1.795642,1.385529,8.9371,-31.69972,49.95862,37.3,1.9894,57.75,19.5,0,1,0,0,0,20.7
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-7.320429,-2.148348,1.400326,10.37463,-31.35743,54.30249,37.3,2.5458,80.38,19.5,0,1,0,0,0,22.02
1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,-6.855656,1.040954,3.7649,21.6803,-45.94638,40.02697,69.11,-0.9762,70.89,20.17,0,0,1,0,0,21.2
2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,-7.275316,-0.723376,1.8282,18.19151,-33.14113,40.82574,46.17,-0.577,105.08,22.59,0,0,1,0,0,23.99
4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-7.489923,-4.976361,0.0,16.74081,-25.85226,34.38375,95.16,0.08232,181.2,18.83,0,1,0,0,0,15.79
4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-7.661107,-5.197319,0.0,16.53239,-26.93475,34.68376,95.16,0.36052,171.46,18.83,0,1,0,0,0,20.16
4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-7.787731,-5.420561,0.0,16.26931,-25.3451,43.80484,95.16,0.63872,160.2,18.83,0,1,0,0,0,21.07
6,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-8.183037,-5.823766,0.0,17.97737,-24.53822,49.25561,142.74,0.10388,188.95,18.83,0,1,0,0,0,22.13
3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,-5.185823,-1.517599,2.353364,7.29921,-35.26154,46.14205,43.78,11.6584,143.78,19.38,0,1,0,0,0,22.25
1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-6.743791,-0.420226,1.268934,13.34644,-42.57693,49.34049,57.53,1.3643,100.72,15.63,0,1,0,0,0,17.8
4,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,-6.031738,-0.606704,2.367453,15.19849,-35.18947,47.32333,80.48,-0.0649,89.78,16.76,0,1,0,0,0,18.96
4,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,-6.61558,1.124162,3.086039,11.22945,-44.87121,39.55943,82.81,-0.0771,100.3,16.44,0,0,1,0,0,18.41
1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,-7.265667,-1.374597,4.580704,10.6675,-45.59037,18.66194,17.07,3.1543,113.64,18.976,0,0,1,0,0,21.357
2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.092615,-2.619402,0.119218,10.14579,-28.14337,52.52475,74.6,2.3898,70.56,19.8,0,0,1,0,0,23.25
2,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,-7.072671,-0.900727,3.984503,13.42302,-50.17024,55.80617,74.6,1.057,128.31,16.33,0,0,1,0,0,17.78
